"Case","JourneyCode","HolidayType","Price","NumberOfPersons","Region","Transportation","Duration","Season","Accommodation","Hotel"
"Journey1","1.0","Bathing","2498.0","2.0","Egypt","Plane","14.0","April","TwoStars","Hotel White House, Egypt"
"Journey2","2.0","Bathing","3066.0","3.0","Egypt","Plane","21.0","May","TwoStars","Hotel White House, Egypt"
"Journey3","3.0","Active","2778.0","2.0","Egypt","Plane","14.0","June","TwoStars","Hotel Geisum, Egypt"
"Journey4","4.0","Bathing","3195.0","3.0","Egypt","Plane","7.0","July","ThreeStars","Hotel Al Mashrabia, Egypt"
"Journey5","5.0","Bathing","3158.0","2.0","Egypt","Plane","14.0","September","ThreeStars","Hotel Al Mashrabia, Egypt"
"Journey6","6.0","Active","3318.0","2.0","Egypt","Plane","14.0","October","ThreeStars","Hotel Al Mashrabia, Egypt"
"Journey7","7.0","Bathing","2458.0","2.0","Egypt","Plane","14.0","June","FourStars","Hotel Winter Palace, Egypt"
"Journey8","8.0","Active","2649.0","3.0","Egypt","Plane","7.0","July","FourStars","Hotel Winter Palace, Egypt"
"Journey9","9.0","Education","4638.0","2.0","Egypt","Plane","21.0","April","FourStars","Anlage Arabia Beach, Egypt"
"Journey10","10.0","Education","3738.0","2.0","Egypt","Plane","14.0","October","FourStars","Anlage Arabia Beach, Egypt"
"Journey11","11.0","City","1978.0","2.0","Cairo","Plane","7.0","April","ThreeStars","Hotel Victoria, Cairo"
"Journey12","12.0","City","1898.0","2.0","Cairo","Plane","7.0","May","ThreeStars","Hotel Victoria, Cairo"
"Journey13","13.0","City","2158.0","2.0","Cairo","Plane","14.0","June","ThreeStars","Hotel Victoria, Cairo"
"Journey14","14.0","City","1898.0","2.0","Cairo","Plane","7.0","September","ThreeStars","Hotel Victoria, Cairo"
"Journey15","15.0","City","1154.0","1.0","Cairo","Plane","7.0","October","ThreeStars","Hotel New Marwa Palace, Cairo"
"Journey16","16.0","City","2308.0","2.0","Cairo","Plane","7.0","April","ThreeStars","Hotel New Marwa Palace, Cairo"
"Journey17","17.0","City","2658.0","2.0","Cairo","Plane","7.0","May","ThreeStars","Hotel New Marwa Palace, Cairo"
"Journey18","18.0","City","1269.0","1.0","Cairo","Plane","14.0","July","ThreeStars","Hotel New Marwa Palace, Cairo"
"Journey19","19.0","City","2608.0","2.0","Cairo","Plane","7.0","May","FiveStars","Hotel Moevenpick, Cairo"
"Journey20","20.0","City","2468.0","2.0","Cairo","Plane","7.0","August","FiveStars","Hotel Moevenpick, Cairo"
"Journey21","21.0","Recreation","1568.0","2.0","Belgium","Car","14.0","May","TwoStars","Hotel Ostend, Belgium"
"Journey22","22.0","Active","798.0","3.0","Belgium","Car","7.0","June","TwoStars","Hotel Ostend, Belgium"
"Journey23","23.0","Recreation","978.0","3.0","Belgium","Car","7.0","July","ThreeStars","Acces Hotel Mercure, Belgium"
"Journey24","24.0","Recreation","978.0","2.0","Belgium","Car","7.0","August","ThreeStars","Acces Hotel Mercure, Belgium"
"Journey25","25.0","Active","1448.0","3.0","Belgium","Car","14.0","September","HolidayFlat","H.Flat, Belgium"
"Journey26","26.0","Recreation","1638.0","4.0","Belgium","Car","14.0","June","HolidayFlat","H.Flat, Belgium"
"Journey27","27.0","Recreation","1079.0","4.0","Belgium","Car","7.0","July","HolidayFlat","H.Flat, Belgium"
"Journey28","28.0","Bathing","499.0","4.0","Belgium","Car","3.0","August","HolidayFlat","H.Flat, Belgium"
"Journey29","29.0","Bathing","399.0","6.0","Belgium","Car","3.0","September","HolidayFlat","H.Flat, Belgium"
"Journey30","30.0","Recreation","1928.0","2.0","Belgium","Train","14.0","July","ThreeStars","Acces Hotel Mercure, Belgium"
"Journey31","31.0","Bathing","1598.0","2.0","Bulgaria","Plane","14.0","June","TwoStars","Hotel Amfibia, Sunny Beach"
"Journey32","32.0","Bathing","2043.0","3.0","Bulgaria","Plane","14.0","July","TwoStars","Hotel Hemus, Sunny Beach"
"Journey33","33.0","Bathing","1658.0","4.0","Bulgaria","Plane","7.0","August","TwoStars","Hotel Raliza, Albena"
"Journey34","34.0","Bathing","1558.0","2.0","Bulgaria","Plane","7.0","July","ThreeStars","Hotel Phoenix, Sunny Beach"
